2530,"Jerusalem",31.77197,35.22882
611,"Berlin",52.51216,13.41949
2345,"Plochingen",48.71339,9.43097
421,"Ilsenburg",51.86399,10.67895
2448,"Saarbrücken",49.24067,7.02079
590,"Celle",52.62177,10.07905
2210,"Stuttgart",48.77044,9.18138
283,"Halle/Saale",51.49681,11.95952
453,"Bad Pyrmont",51.98824,9.25703
2021,"Ulm",48.42163,9.94871
2552,"Ravensburg",47.78521,9.61447
2286,"Heidelberg",49.39658,8.72296
104,"Kiel",54.32171,10.14268
353,"Eisenach",50.97150,10.32207
2507,"Frankfurt/Main",50.13041,8.66808
432,"Schönebeck/Elbe",52.01406,11.72705
2123,"Heidelberg",49.41001,8.70161
207,"Heide",54.19529,9.12232
209,"Plön",54.15997,10.43379
2320,"Weinheim",49.55068,8.66886
1017,"Bad Oldesloe",53.80613,10.38093
426,"Leuna",51.32120,12.02363
616,"Hildesheim",52.13386,9.97507
2206,"Friedrichshafen",47.66577,9.44930
2443,"Böblingen",48.68216,9.00941
2141,"Mannheim",49.49235,8.48674
423,"Zerbst/Anhalt",51.96372,12.08342
2510,"Offenbach/Main",50.10731,8.76503
2048,"Zwickau",50.71603,12.49545
281,"Eisenach",50.98338,10.31953
451,"Holzminden",51.82791,9.44731
1119,"Berlin",52.42469,13.17977
1016,"Neubrandenburg",53.55796,13.26069
61,"Weimar",50.97951,11.33107
2207,"Konstanz",47.68994,9.18772
276,"Flensburg",54.78056,9.44135
2555,"Berlin",52.50993,13.38725
2421,"Sigmaringen",48.09073,9.21585
2252,"Stuttgart",48.77729,9.17205
351,"Wolfsburg",52.41980,10.78620
32,"Ilmenau",50.67961,10.93450
514,"Meuselwitz",51.04120,12.29983
758,"Hamburg",53.56561,9.98965
286,"Südheide",52.83254,10.10112
2560,"Frankfurt/Main",50.15305,8.63579
605,"Berlin",52.53217,13.41088
2043,"Marbach/Neckar",48.93623,9.25598
2287,"Landau/Pfalz",49.19680,8.12543
569,"Bunde",53.18735,7.27189
567,"Bad Harzburg",51.87789,10.55914
356,"Bremen",53.09251,8.86384
2506,"Mannheim",49.50008,8.46147
2225,"Stuttgart",48.76914,9.15448
2158,"Dresden",51.12975,13.79000
378,"Hamburg",53.55092,10.03137
2365,"Maulbronn",49.00045,8.81324
250,"Gera",50.90371,12.06912
2051,"Leipzig",51.33266,12.36998
2522,"Köln",50.85536,7.11968
480,"Stelle",53.38039,10.11205
2476,"Saarbrücken",49.24090,6.95385
2496,"Frankfurt/Main",50.11200,8.65215
505,"Kölleda",51.18688,11.24916
2033,"Karlsruhe",49.00715,8.39655
478,"Rudolstadt",50.72130,11.34255
380,"Berlin",52.51287,13.38927
2413,"Plauen",50.49523,12.13512
2384,"Stuttgart",48.77477,9.18642
2315,"Leipzig",51.34689,12.47210
2332,"Tübingen",48.52237,9.05580
424,"Sottrum",53.11432,9.22490
2131,"Dresden",51.05276,13.76152
2418,"Dresden",51.06443,13.75574
2240,"Ulm",48.42565,9.96217
370,"Hamburg",53.54042,10.00513
2038,"Schwäbisch Gmünd",48.79218,9.82827
2350,"Heilbronn",49.14071,9.21805
101,"Magdeburg",52.10108,11.61466
2097,"Leipzig",51.33334,12.36785
470,"Stendal",52.60307,11.85502
2174,"Mannheim",49.48195,8.46602
2194,"Heidelberg",49.40897,8.69039
435,"Bernburg/Saale",51.79376,11.74198
2153,"Heidenheim/Brenz",48.68213,10.15454
811,"Altenholz",54.40218,10.13319
2389,"Tübingen",48.51982,9.05360
2222,"Stuttgart",48.77714,9.17967
2451,"Mengen",48.04828,9.32799
2068,"Furtwangen",48.05139,8.20750
265,"Güstrow",53.78380,12.17728
2525,"Ladenburg",49.47109,8.61488
2161,"Dresden",51.05381,13.72492
78,"Hannover",52.36697,9.74519
516,"Mühlhausen/Thüringen",51.21204,10.44799
2013,"Heidelberg",49.40974,8.70591
187,"Kiel",54.33051,10.17955
698,"Halle/Saale",51.49482,11.98312
2433,"Dresden",51.05238,13.76111
2096,"Kassel",51.31409,9.49853
2179,"Saarbrücken",49.21858,7.00827
274,"Bremen",53.07375,8.81235
90,"Hildesheim",52.13426,9.97450
707,"Halle/Saale",51.48098,11.97145
2312,"Tübingen",48.52520,9.06389
2309,"Stuttgart",48.77907,9.18663
709,"Bremen",53.07300,8.81191
2438,"Berlin",52.49344,13.38847
2111,"Aalen",48.84053,10.06699
2335,"Dresden",51.08284,13.75408
2540,"Berlin",52.50392,13.39851
454,"Mücheln/Geiseltal",51.30059,11.80529
2018,"Karlsruhe",49.00809,8.39907
179,"Berlin",52.51779,13.39221
2497,"Frankfurt/Main",50.10229,8.67461
2477,"Saarbrücken",49.23021,7.00051
690,"Otterndorf",53.80775,8.90146
813,"Münster",51.96464,7.62216
77,"Hannover",52.37055,9.73322
2063,"Pforzheim",48.87890,8.71706
2205,"Zittau",50.89577,14.81033
2324,"Donaueschingen",47.95211,8.49912
2502,"Berlin",52.44679,13.27785
482,"Arnstadt",50.83323,10.94172
2264,"Reutlingen",48.49020,9.21053
252,"Braunschweig",52.27016,10.57073
734,"Lindlar",51.01410,7.36197
725,"Köln",50.93506,7.05342
648,"Oestrich-Winkel",50.01250,8.04975
2285,"Beuron",48.05069,8.96902
2214,"Bad Boll",48.63848,9.60094
2256,"Stuttgart",48.74064,9.09825
23,"Hamburg",53.46099,9.96901
559,"Saalfeld",50.64748,11.35985
557,"Bad Salzungen",50.81124,10.23355
366,"Bremerhaven",53.54160,8.58034
372,"Appen",53.65389,9.70882
2346,"Freiberg/Sachsen",50.92532,13.34807
640,"Hamburg",53.55002,9.99097
466,"Bad Frankenhausen",51.36670,11.05000
1012,"Jever",53.57112,7.90539
1009,"Lübeck",53.86576,10.68225
472,"Göttingen",51.53340,9.93373
363,"Bremen",53.10938,8.84855
2219,"Heidelberg",49.38466,8.71059
2202,"Schlatt",47.68448,8.67638
2505,"Berlin",52.50530,13.44840
2539,"Heilbronn",49.14090,9.21729
608,"Hamburg",53.58330,9.73697
2347,"Rheinstetten",48.96409,8.33436
463,"Bleicherode",51.43812,10.56811
2234,"Denkendorf/Württemberg",48.70066,9.34397
529,"Stadtilm",50.77388,11.07833
527,"Sömmerda",51.16332,11.11631
231,"Wernigerode",51.82752,10.75991
2556,"Annaberg-Buchholz",NA,NA
2282,"Stuttgart",48.72142,9.20642
2269,"Tübingen",48.53011,9.06911
2514,"Heidelberg",49.40974,8.70591
600,"Rostock",54.17967,12.08172
1032,"Berlin",52.49864,13.35667
2291,"Göppingen",48.70447,9.65126
2271,"Tübingen",48.52117,9.05501
692,"Wernigerode",51.83252,10.78329
1015,"Hamburg",53.57491,10.06889
593,"Ilsede",52.26662,10.22627
